,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,income,capital.gain_log,capital.loss_log,native.country_grouped,hours.per.week_log
0,41,Private,12.04491161719658,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0.0,0.0,3,3.828641396489095
1,20,Private,12.98418118656438,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0.0,0.0,1,3.713572066704308
2,73,Private,10.30155872609058,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0.0,0.0,3,3.6375861597263857
3,56,Self-emp-inc,11.567252652446362,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,8.94754601503218,0.0,3,3.9318256327243257
4,53,Private,12.026144222904994,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0.0,0.0,3,3.713572066704308
5,51,Self-emp-not-inc,12.227457354009005,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0.0,0.0,3,3.9318256327243257
6,65,State-gov,12.251433125527017,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,8.781862489558945,0.0,3,3.58351893845611
7,22,Local-gov,10.57737545815726,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,6.38856140554563,0.0,3,3.258096538021482
8,39,State-gov,12.696390413384732,Some-college,10,Never-married,Transport-moving,Own-child,Black,Male,0,0.0,0.0,3,3.713572066704308
9,32,Private,11.804564697526134,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,1,9.514215624322716,0.0,3,3.8918202981106265
10,24,Private,11.386534234892505,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0.0,0.0,3,3.713572066704308
11,32,Private,11.932359222305788,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.0,0.0,3,3.8918202981106265
12,58,Private,12.77712281109126,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,0.0,0.0,3,3.713572066704308
13,49,State-gov,10.49620647826158,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0.0,0.0,3,3.828641396489095
14,32,Private,12.218490227244931,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0.0,0.0,2,3.713572066704308
15,21,Private,12.411349534358424,9th,5,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Male,0,0.0,0.0,3,3.713572066704308
16,52,Private,12.864623205323667,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0.0,0.0,3,3.828641396489095
17,22,Private,11.804355505008488,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0.0,0.0,3,3.713572066704308
18,32,Self-emp-not-inc,11.81108743100238,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,0.0,0.0,3,3.970291913552122
19,25,Private,11.60398115269893,12th,8,Never-married,Craft-repair,Own-child,White,Male,0,0.0,0.0,3,3.713572066704308
20,33,Private,12.099372343870884,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0.0,0.0,3,3.044522437723423
21,38,Self-emp-not-inc,12.200396567031936,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.0,0.0,3,3.713572066704308
22,26,State-gov,10.968887706998125,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0.0,0.0,3,3.713572066704308
23,27,State-gov,9.966790936205369,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0.0,0.0,2,3.713572066704308
24,22,Private,11.220324648640798,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0,0.0,0.0,3,2.639057329615259
25,30,Private,11.828298090718423,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,1,0.0,0.0,3,3.713572066704308
26,19,Private,12.247727892798917,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0.0,0.0,3,3.367295829986474
27,37,Private,12.5487825303684,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0.0,0.0,3,3.4339872044851463
28,20,Private,12.12048752368223,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.0,0.0,3,3.9318256327243257
29,35,Private,12.85208628895606,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,1,0.0,0.0,3,3.828641396489095
30,34,Private,11.998082449987244,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,0.0,0.0,3,3.044522437723423
31,44,Self-emp-not-inc,11.755738301357605,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,8.895492631451633,0.0,2,3.9318256327243257
32,42,Private,11.142151596651994,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,1,0.0,0.0,3,3.713572066704308
33,62,Private,11.724668274093098,10th,6,Divorced,Other-service,Unmarried,White,Female,0,0.0,0.0,3,3.713572066704308
34,51,Self-emp-not-inc,11.68064086937482,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,8.051340933292979,0.0,3,3.970291913552122
35,51,Private,12.00116799953596,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.0,0.0,3,3.713572066704308
36,47,Self-emp-not-inc,12.487854847925762,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,1,0.0,0.0,3,3.828641396489095
37,39,Private,11.02425264584537,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0.0,0.0,3,3.970291913552122
38,49,Self-emp-inc,11.540268221361936,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1,0.0,0.0,3,3.970291913552122
39,64,Private,11.91200355275354,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0.0,7.629489916393995,2,3.970291913552122
40,26,Private,11.931872613891011,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0.0,0.0,3,3.713572066704308
41,34,Private,10.52891783292566,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,0,0.0,0.0,3,3.713572066704308
42,19,Self-emp-not-inc,10.72650003882868,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0.0,0.0,3,2.833213344056216
43,23,Private,12.602002436655,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0.0,0.0,3,3.258096538021482
44,45,Local-gov,11.981784689634766,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,1,0.0,7.589841512182657,3,3.58351893845611
45,40,Private,12.796314627007355,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,8.895492631451633,0.0,3,3.713572066704308
46,42,State-gov,12.16732142214932,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,0,0.0,0.0,3,3.6635616461296463
47,24,Private,12.556366775304138,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0.0,0.0,3,3.713572066704308
48,24,Private,12.55604970866112,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0.0,0.0,3,3.713572066704308
49,20,Private,11.111223268222592,11th,7,Married-civ-spouse,Farming-fishing,Own-child,White,Male,0,0.0,0.0,1,3.713572066704308
50,30,Self-emp-not-inc,12.431214199507057,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,0.0,0.0,3,3.970291913552122
51,55,Self-emp-inc,12.313203593048222,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.0,0.0,3,3.970291913552122
52,67,Private,11.750760565027427,10th,6,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0.0,0.0,3,3.044522437723423
53,47,Federal-gov,12.333784009597451,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,1,0.0,0.0,3,3.9318256327243257
54,31,Private,12.011091290589428,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0.0,0.0,3,3.8918202981106265
55,34,Local-gov,12.34379773231398,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.0,0.0,3,3.970291913552122
56,39,State-gov,11.504459731556729,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0.0,0.0,3,3.9318256327243257
57,38,Private,12.074601985280273,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,1,0.0,7.847762537473608,3,3.970291913552122
58,27,Private,12.633781842584504,Bachelors,13,Divorced,Handlers-cleaners,Own-child,Black,Male,0,0.0,0.0,3,3.713572066704308
59,44,Private,11.806497656561913,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,0.0,0.0,3,3.713572066704308
60,47,Private,12.35720018885314,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0.0,0.0,3,3.713572066704308
61,50,Private,11.451922021409896,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0.0,0.0,3,3.713572066704308
62,53,Private,12.327267631635769,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,1,0.0,0.0,3,3.713572066704308
63,34,Private,12.278616538005885,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0.0,0.0,3,3.828641396489095
64,41,Private,12.299526558081434,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0.0,0.0,3,3.713572066704308
65,60,Private,11.240171413102685,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,1,0.0,0.0,3,3.58351893845611
66,28,Private,12.675354139098694,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,1,0.0,0.0,2,3.828641396489095
67,44,Self-emp-inc,11.146690685353732,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0.0,0.0,3,3.9318256327243257
68,19,Private,12.327298636297542,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0.0,0.0,1,3.828641396489095
69,28,Private,11.81222232388424,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0.0,0.0,3,3.713572066704308
70,23,Private,12.09745126346616,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0.0,0.0,3,3.713572066704308
71,34,Private,10.365364499570234,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0.0,0.0,3,3.713572066704308
72,38,Private,12.070928524586714,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1,0.0,0.0,3,3.9318256327243257
73,46,State-gov,11.538875822852642,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0.0,0.0,3,3.713572066704308
74,41,Self-emp-inc,11.452262092402991,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0.0,0.0,3,3.970291913552122
75,40,Federal-gov,12.915250643162649,Masters,14,Never-married,Tech-support,Not-in-family,White,Female,0,0.0,0.0,3,3.713572066704308
76,63,Private,12.0531312342429,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0.0,0.0,3,3.713572066704308
77,36,State-gov,12.104886737393649,Bachelors,13,Never-married,Protective-serv,Unmarried,Black,Female,0,0.0,0.0,3,3.713572066704308
78,27,Self-emp-inc,11.696304795457616,9th,5,Never-married,Craft-repair,Own-child,White,Male,0,0.0,0.0,3,3.713572066704308
79,34,Local-gov,12.12161437023734,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0.0,0.0,3,2.70805020110221
80,56,Private,12.140445532090949,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0.0,0.0,3,3.713572066704308
81,57,Private,12.203935363168531,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0.0,0.0,3,3.713572066704308
82,60,Private,12.348205687668685,7th-8th,4,Divorced,Adm-clerical,Not-in-family,White,Female,0,0.0,0.0,2,3.58351893845611
83,28,Private,12.15513718185042,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,1,0.0,7.355641102974253,3,3.713572066704308
84,46,Private,12.912407485393691,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.0,0.0,3,3.713572066704308
85,21,Private,12.67346035624254,Some-college,10,Never-married,Transport-moving,Own-child,Black,Male,0,0.0,0.0,3,3.713572066704308
86,36,Private,12.105478530294471,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0.0,0.0,3,3.6635616461296463
87,46,Private,11.325957128599292,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0.0,0.0,3,3.713572066704308
88,34,Private,12.620732023171604,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0.0,0.0,3,3.970291913552122
89,35,State-gov,11.748550793786494,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,8.895492631451633,0.0,3,3.713572066704308
90,32,Private,12.312902581061628,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,0,0.0,0.0,3,3.713572066704308
91,27,Private,12.157543947175576,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,1,0.0,0.0,3,3.9318256327243257
92,53,Private,12.690253427345509,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.0,0.0,3,3.828641396489095
93,60,Private,11.355265300767112,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,1,0.0,0.0,3,3.8066624897703196
94,23,Private,12.55989001047633,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0.0,0.0,3,3.4339872044851463
95,24,Private,10.855145428247576,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0.0,0.0,3,3.713572066704308
96,39,Private,11.238435986304433,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0.0,0.0,3,3.828641396489095
97,23,Private,12.321296854624888,Bachelors,13,Never-married,Other-service,Own-child,White,Male,0,0.0,0.0,3,3.713572066704308
98,28,Private,10.870547441461856,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1,0.0,0.0,3,3.9318256327243257
99,56,Private,12.41851110122794,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0.0,0.0,3,3.9318256327243257
100,55,Private,12.083368144304687,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0.0,0.0,3,3.9318256327243257
101,57,Private,12.349739995342588,5th-6th,3,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0.0,0.0,3,3.713572066704308
102,42,Private,12.864048503078678,Some-college,10,Divorced,Sales,Not-in-family,White,Male,1,0.0,0.0,3,3.9318256327243257
103,42,State-gov,12.314411222358558,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,0,0.0,0.0,3,3.713572066704308
104,46,Private,12.031219133343711,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.0,0.0,3,3.713572066704308
105,49,Private,12.151949033781095,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.0,0.0,3,3.713572066704308
106,44,Private,10.908008917804642,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0.0,0.0,3,3.9318256327243257
107,40,Private,11.912392621274757,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,0,7.684783943522785,0.0,1,3.970291913552122
108,78,Self-emp-inc,12.144436574871772,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0.0,7.780303087908373,3,3.713572066704308
109,34,Private,11.89247087459264,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0.0,0.0,3,3.970291913552122
110,57,Self-emp-inc,11.993269200581937,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,8.94754601503218,0.0,3,3.970291913552122
111,45,Private,12.188850186734587,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,1,0.0,7.355641102974253,3,3.713572066704308
112,36,Local-gov,12.160876515077204,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,1,0.0,0.0,3,3.970291913552122
113,54,Private,12.735723948946124,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0.0,0.0,3,3.7376696182833684
114,22,State-gov,12.484094457554292,Some-college,10,Never-married,Other-service,Other-relative,Black,Male,0,0.0,0.0,2,3.6888794541139363
115,40,Private,11.94713998636438,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,0.0,0.0,3,3.713572066704308
116,19,Private,12.749602604594234,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0.0,0.0,3,3.713572066704308
117,52,Private,12.089516357111613,1st-4th,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,0.0,0.0,1,3.970291913552122
